,bing,bing_tokens,bing_positivity_score,bing_negativity_score,google,google_tokens,google_positivity_score,google_negativity_score
127,america is already great hat,"[america, alreadi, great, hat]",0.25,0.0,obama should be deported,"[obama, deport]",0.0,0.0
128,america is finished,"[america, finish]",0.0,0.0,obama should be impeached now,"[obama, impeach]",0.0,0.0
129,america is dying,"[america, die]",0.0,0.0,obama is osama,"[obama, osama]",0.0,0.0
130,america is in the heart,"[america, heart]",0.0,0.0,obama is a cactus,"[obama, cactu]",0.0,0.0
131,america is already great,"[america, alreadi, great]",0.333333333333,0.0,obama is gog,"[obama, gog]",0.0,0.0
132,america is a corporation,"[america, corpor]",0.0,0.0,obama is democrat,"[obama, democrat]",0.0,0.0
133,america is a constitutional republic,"[america, constitut, republ]",0.0,0.0,obama is dead,"[obama, dead]",0.0,0.0
134,america is not a democracy,"[america, democraci]",0.0,0.0,obama is the best president,"[obama, best, presid]",0.333333333333,0.0
135,america is not a melting pot,"[america, melt, pot]",0.0,0.0,obama is awesome,"[obama, awesom]",0.0,0.0
136,america is so backwards,"[america, backward]",0.0,0.0,obama is a robot,"[obama, robot]",0.0,0.0
137,america is going to collapse,"[america, go, collaps]",0.0,0.0,obama is the best,"[obama, best]",0.5,0.0
138,america is a sinking ship,"[america, sink, ship]",0.0,0.0,obama is osama bin laden,"[obama, osama, bin, laden]",0.0,0.0
139,america is not the greatest country speech,"[america, greatest, countri, speech]",0.0,0.0,the united states should adopt a carbon tax,"[unit, state, adopt, carbon, tax]",0.0,0.0
140,america is in the heart characters,"[america, heart, charact]",0.0,0.0,the united states should withdraw military presence from okinawa,"[unit, state, withdraw, militari, presenc, okinawa]",0.0,0.0
141,america is racist,"[america, racist]",0.0,0.0,the united states should withdraw troops from okinawa,"[unit, state, withdraw, troop, okinawa]",0.0,0.0
142,america is in the heart summary,"[america, heart, summari]",0.0,0.0,the united states should ban the death penalty,"[unit, state, ban, death, penalti]",0.0,0.0
143,america is falling apart,"[america, fall, apart]",0.0,0.0,the united states should promote democracy overseas,"[unit, state, promot, democraci, oversea]",0.0,0.0
144,america is a republic,"[america, republ]",0.0,0.0,the united states should lower the voting age,"[unit, state, lower, vote, age]",0.0,0.0
145,barack obama should we take away guns,"[barack, obama, take, away, gun]",0.0,0.0,the united states should break up,"[unit, state, break]",0.0,0.0
146,barack obama international law should govern,"[barack, obama, intern, law, govern]",0.0,0.0,the united states should stay in okinawa,"[unit, state, stay, okinawa]",0.0,0.0
147,barack obama in 2015 why is he doing this,"[barack, obama, 2015]",0.0,0.0,the united states should pay reparations for slavery,"[unit, state, pay, repar, slaveri]",0.0,0.0
148,barack obama should we take away guns,"[barack, obama, take, away, gun]",0.0,0.0,the united states should switch to the metric system,"[unit, state, switch, metric, system]",0.0,0.0
149,barack obama is he the antichrist,"[barack, obama, antichrist]",0.0,0.0,what the united states is doing about isis,"[unit, state, isi]",0.0,0.0
150,barack obama is a weak president,"[barack, obama, weak, presid]",0.0,0.25,what the united states is doing to stop global warming,"[unit, state, stop, global, warm]",0.2,0.0
151,barack obama is your new bicycle,"[barack, obama, new, bicycl]",0.0,0.0,is the united states doing anything about isis,"[unit, state, anyth, isi]",0.0,0.0
152,barack obama is the 44th or 45th president,"[barack, obama, 44th, 45th, presid]",0.0,0.0,is the united states doing enough to stop isis,"[unit, state, enough, stop, isi]",0.0,0.0
153,barack obama is not seeking legacy,"[barack, obama, seek, legaci]",0.0,0.0,what is the united states doing about ebola,"[unit, state, ebola]",0.0,0.0
154,barack obama is an absolute idiot,"[barack, obama, absolut, idiot]",0.0,0.25,what is the united states doing to help fight ebola,"[unit, state, help, fight, ebola]",0.0,0.2
155,barack obama is a hopeless failure,"[barack, obama, hopeless, failur]",0.0,0.25,what is the united states doing to stop isis,"[unit, state, stop, isi]",0.0,0.0
156,barack obama is the 44th president,"[barack, obama, 44th, presid]",0.0,0.0,what is the united states doing about syria,"[unit, state, syria]",0.0,0.0
157,barack obama is not my president,"[barack, obama, presid]",0.0,0.0,what is the united states doing about ukraine,"[unit, state, ukrain]",0.0,0.0
158,barack obama is a mass murderer,"[barack, obama, mass, murder]",0.0,0.25,what is the united states doing about global warming,"[unit, state, global, warm]",0.25,0.0
159,barack obama is the what number president,"[barack, obama, number, presid]",0.0,0.0,the united states should be isolationist,"[unit, state, isolationist]",0.0,0.0
160,barack obama is a illegal president damit,"[barack, obama, illeg, presid, damit]",0.0,0.0,who thought the united states should be a naval power,"[thought, unit, state, naval, power]",0.0,0.0
161,barack obama is a lawyer,"[barack, obama, lawyer]",0.0,0.0,the united states should pay reparations for slavery,"[unit, state, pay, repar, slaveri]",0.0,0.0
162,barack obama is the satan,"[barack, obama, satan]",0.0,0.0,the united states should not intervene in syria,"[unit, state, interven, syria]",0.0,0.0
163,barack obama is from what state,"[barack, obama, state]",0.0,0.0,the united states should increase minimum wage,"[unit, state, increas, minimum, wage]",0.0,0.0
164,barack obama is in charge,"[barack, obama, charg]",0.0,0.0,the united states should not intervene in foreign wars,"[unit, state, interven, foreign, war]",0.0,0.2
165,barack obama is our 44th president,"[barack, obama, 44th, presid]",0.0,0.0,the united states should not restrict immigration,"[unit, state, restrict, immigr]",0.0,0.0
166,barack obama is which number president,"[barack, obama, number, presid]",0.0,0.0,the united states should intervene in syria,"[unit, state, interven, syria]",0.0,0.0
167,barack obama is the mahdi,"[barack, obama, mahdi]",0.0,0.0,the united states should eliminate agricultural subsidies,"[unit, state, elimin, agricultur, subsidi]",0.0,0.0
